SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DynsimPEngine,ZERO,,,ExampleSCP1,1_4KV:EE911.POINT,1D1105_04,,,,4KV STATION SERV  BUS 1A POWER,FOXSCI1_16,0,0,21.82,-0.4364,22.2564,,Y,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1_4KV:EE912.POINT,1D1106_04,,,,4KV STATION SERV  BUS 1AA PWR,FOXSCI1_16,0,0,21.82,-0.4364,22.2564,,Y,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1_4KV:EE921.POINT,1D1107_04,,,,4KV STATION SERV  BUS 1B POWER,FOXSCI1_16,0,0,21.82,-0.4364,22.2564,,Y,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1_4KV:EE922.POINT,1D1108_04,,,,4KV STATION SERV  BUS 1BB PWR,FOXSCI1_16,0,0,21.82,-0.4364,22.2564,,Y,,120204NEW,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP420.POINT,1D1112_04,,, FSA2A.PI,1A AHTR SEC AIR   INLET  PRESS,FOXSCI3_16,0,-1,20,-1.42,20.42,,,,120204NEW,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP421.POINT,1D1112_03,,, FSA2A.PX,1A AHTR SEC AIR   OUTLET PRESS,FOXSCI3_16,0,-1,20,-1.42,20.42,,,,120204NEW,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP422.POINT,1D1105_08,,, FPA3A.PI,1A AHTR PRI AIR  INLET PRESS,FOXSCI3_16,0,0,50,-1,51,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP423.POINT,1D1106_08,,, FPA3A.PX,1A AHTR PRI AIR  OUTLET PRESS,FOXSCI3_16,0,0,40,-0.8,40.8,,,,,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP520.POINT,1D1112_02,,, HAIR_HTR1.P,1A AHTR GAS INLET PRESS,FOXSCI3_16,0,-35,0,-35.7,0.7,,,,120204NEW,,
A,DynsimPEngine,,,,ExampleSCP1,1AAHTR:AP521.POINT,1D1112_01,,, HAIR_HTR1.P-(((FFG1A.FI/APH1A.JG)^2)/FFG1A.RHEAD),1A AHTR GAS OUTLT PRESS,FOXSCI3_16,0,-35,1,-35.72,1.72,,,,120204NEW,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT541.POINT,1D5104_01,,,,AIR HTR GAS INLET RH LEFT 4FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT541.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH LEFT 4FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT542.POINT,1D5104_02,,,,AIR HTR GAS INLET RH LEFT 10FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT542.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH LEFT 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT543.POINT,1D5104_03,,,,AIR HTR GAS INLET RH LEFT 16FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT543.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH LEFT 16FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT544.POINT,1D5104_04,,,,AIR HTR GAS INLET RH CNTR 4FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT544.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH CNTR 4FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT545.POINT,1D5104_05,,,,AIR HTR GAS INLET RH CNTR 10FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT545.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH CNTR 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT546.POINT,1D5104_06,,,,AIR HTR GAS INLET RH CNTR 16FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT546.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH CNTR 16FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT547.POINT,1D5104_07,,,,AIR HTR GAS INLET RH RIGHT 4FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT547.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH RIGHT 4FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT548.POINT,1D5104_08,,,,AIR HTR GAS INLET RH RIGHT 10FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT548.POINT_TEMP,1D5104:00,,,,AIR HTR GAS INLET RH RIGHT 10FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5104,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGI{F},,,ExampleSCP1,1AAHTR3:AT549.POINT,1D5107_02,,,,AIR HTR GAS INLET RH RIGHT 16FT,FOXSCI23_16,0,0,1500,-346,2192,,,,120204NEW,,
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT549.POINT_TEMP,1D5107:00,,,,AIR HTR GAS INLET RH RIGHT 16FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D5107,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT559.POINT,1D1608_06,,,,AIR HTR GAS OUTLET A LEFT 1FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
A,DynsimPEngine,ZERO,,,ExampleSCP1,1AAHTR3:AT559.POINT_TEMP,1D1604:00,,,,AIR HTR GAS OUTLET A LEFT 1FT - REFERENCE TEMPARATURE POINT TO 1CP773_ECB:1D1604,43,0,0,100,-200,620,,,,,,
A,DynsimPEngine,APH1A.TGX{F},,,ExampleSCP1,1AAHTR3:AT560.POINT,1D1535_06,,,,AIR HTR GAS OUTLET A LEFT 6FT,FOXSCI23_16,0,0,500,-346,2192,,,,,,ABC                                      
