SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:GCM.POINT,1D1413:01,,,,,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC010.POINT,1D1413:12,,,,UNIT 1 LIGHTER    OIL FLOW,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC011.POINT,1D1413:08,,,,STARTUP BOILER NO 1 OIL FLOW,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC012.POINT,1D1413:09,,,,STARTUP BOILER NO 2 OIL FLOW,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC013.POINT,1D1413:13,,,,UNIT 1 LIGHTER    OIL RETRN FLOW,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC014.POINT,1D1413:14,,,,UNIT 1 COAL FLOW RATE,0,0,0,1600,-32,1632,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PC015.POINT,1D1413:15,,,,UNIT 2 COAL FLOW RATE,0,0,0,1600,-32,1632,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN2.POINT,1D1413:02,,,,RAW PULSES FOR B    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN3.POINT,1D1413:03,,,,RAW PULSES FOR C    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN4.POINT,1D1413:04,,,,RAW PULSES FOR D    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN5.POINT,1D1413:05,,,,RAW PULSES FOR E    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN6.POINT,1D1413:06,,,,RAW PULSES FOR F    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1PULSE:PCAIN7.POINT,1D1413:07,,,,RAW PULSES FOR G    FEEDER,0,0,0,65535,-1310.7,66845.7,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATTERY_A:KEET7101.POINT,1ECI17:03,,,,BATTERY A VOLTAGE,3,0,90,180,88.2,181.8,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATTERY_A:KEIT7101.POINT,1ECI17:04,,,,BATTERY A CURRENT,1,0,-1500,1500,-1560,1560,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATTERY_B:KEET7102.POINT,1ECI18:03,,,,BATTERY  B VOLTAGE,3,0,90,180,88.2,181.8,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATTERY_B:KEIT7102.POINT,1ECI18:04,,,,BATTERY  B CURRENT,1,0,-1500,1500,-1560,1560,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_CHG:KEIT7001.POINT,1ECI17:01,,,,BATT CHRGR A-A    CURRENT,3,0,0,800,-16,816,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_CHG:KEIT7002.POINT,1ECI18:01,,,,BATT CHRGR A-B    CURRENT,3,0,0,800,-16,816,,,,,,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET001_IIN.POINT,BATT_A:01,,,,CELL 001 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET002_IIN.POINT,BATT_A:01,,,,CELL 002 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET003_IIN.POINT,BATT_A:01,,,,CELL 003 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET004_IIN.POINT,BATT_A:01,,,,CELL 004 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET005_IIN.POINT,BATT_A:01,,,,CELL 005 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET006_IIN.POINT,BATT_A:01,,,,CELL 006 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET007_IIN.POINT,BATT_A:01,,,,CELL 007 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET008_IIN.POINT,BATT_A:01,,,,CELL 008 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET009_IIN.POINT,BATT_A:01,,,,CELL 009 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET010_IIN.POINT,BATT_A:01,,,,CELL 010 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET011_IIN.POINT,BATT_A:01,,,,CELL 011 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET012_IIN.POINT,BATT_A:01,,,,CELL 012 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET013_IIN.POINT,BATT_A:01,,,,CELL 013 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET014_IIN.POINT,BATT_A:01,,,,CELL 014 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET015_IIN.POINT,BATT_A:01,,,,CELL 015 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET016_IIN.POINT,BATT_A:01,,,,CELL 016 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET017_IIN.POINT,BATT_A:01,,,,CELL 017 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET018_IIN.POINT,BATT_A:01,,,,CELL 018 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET019_IIN.POINT,BATT_A:01,,,,CELL 019 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET020_IIN.POINT,BATT_A:01,,,,CELL 020 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET021_IIN.POINT,BATT_A:01,,,,CELL 021 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET022_IIN.POINT,BATT_A:01,,,,CELL 022 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET023_IIN.POINT,BATT_A:01,,,,CELL 023 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET024_IIN.POINT,BATT_A:01,,,,CELL 024 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET025_IIN.POINT,BATT_A:01,,,,CELL 025 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET026_IIN.POINT,BATT_A:01,,,,CELL 026 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET027_IIN.POINT,BATT_A:01,,,,CELL 027 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET028_IIN.POINT,BATT_A:01,,,,CELL 028 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET029_IIN.POINT,BATT_A:01,,,,CELL 029 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET030_IIN.POINT,BATT_A:01,,,,CELL 030 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET031_IIN.POINT,BATT_A:01,,,,CELL 031 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET032_IIN.POINT,BATT_A:01,,,,CELL 032 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET033_IIN.POINT,BATT_A:01,,,,CELL 033 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET034_IIN.POINT,BATT_A:01,,,,CELL 034 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET035_IIN.POINT,BATT_A:01,,,,CELL 035 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET036_IIN.POINT,BATT_A:01,,,,CELL 036 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET037_IIN.POINT,BATT_A:01,,,,CELL 037 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET038_IIN.POINT,BATT_A:01,,,,CELL 038 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET039_IIN.POINT,BATT_A:01,,,,CELL 039 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET040_IIN.POINT,BATT_A:01,,,,CELL 040 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
A,DynsimPEngine,ZERO,,,WANSCP1VM,1BATT_A_MOD:ET041_IIN.POINT,BATT_A:01,,,,CELL 041 VOLTAGE  INTEGER,0,0,0,4294970000,0,4294970000,,,,,1,
