SIM4ME,,,,,,,,,,,,,,,,,,,,,,,
#TYPE,FROM ENGINE,FROM SYMBOL,FROM VALUE INFO,FROM VALUE UOM,TO ENGINE,TO SYMBOL,TO VALUE INFO,TO VALUE UOM,PERIOD,EQUATION,DESCRIPTION,CONV TYPE,TOLERANCE,MIN SCALE,MAX SCALE,LOW LIMIT,HI LIMIT,MISC1,MISC2,MISC3,MISC4,MISC5,COMMENTS
A,DYN,ZERO, refs,,SCP,0FA_DAS_CP1:ACTI5020.POINT,SIMOPT = 0,DEG F,,,U1 ESP ELECTRIC   ROOM TEMP IND,3,0,0,135,-2.7,137.7,RIN : 0CP001 : WAN0F13710,,,,,
A,DYN,ZERO, refs,,SCP,0FA_DAS_CP1:U1_MEGAWATTS.POINT,SIMOPT = 0,MW,,,U1 MEGAWATTS,3,0,0,1000,-20,1020,RIN : 0CP001 : WAN0F13710,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABSI5435A.POINT,SIMOPT = 0,PCT,,,U1 BH OVRFL PMP   5435A SPEED,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20200,,,,,
A,SCP,1BA_BH_OFTK:ABSY5435A.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 BH OVRFL PMP   5435A SPD CMD,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20200,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABII5435A.POINT,SIMOPT = 0,AMPS,,,U1 BH OVRFL PMP   5435A AMPS,3,0,0,150,-3,153,RIN : 0CP001 : WAN1F20200,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABSI5435B.POINT,SIMOPT = 0,PCT,,,U1 BH OVRFL PMP   5435B SPEED,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20210,,,,,
A,SCP,1BA_BH_OFTK:ABSY5435B.OUT,SIMOPT = 0,PCT,DYN,ANAOUT,,,,,U1 BH OVRFL PMP   5435B SPD CMD,0,0,0,100,-2,102,ROUT : 0CP001 : WAN1F20210,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABII5435B.POINT,SIMOPT = 0,AMPS,,,U1 BH OVRFL PMP   5435B AMPS,3,0,0,150,-3,153,RIN : 0CP001 : WAN1F20210,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABLI5430A.POINT,SIMOPT = 0,PCT,,,U1 BLR HSE OVRFL  TNK LVL 5430A,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20220,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABLI5430B.POINT,SIMOPT = 0,PCT,,,U1 BLR HSE OVRFL  TNK LVL 5430B,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20220,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABPI5438.POINT,SIMOPT = 0,PSIG,,,1BLR OVRFL PMPS   DCS PRESS,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20221,,,,,
A,DYN,ZERO, refs,,SCP,1BA_BH_OFTK:ABPI5382.POINT,SIMOPT = 0,PSI,,,U1 LO PRS PMPS    WTR SPLY PRS,3,0,0,95,-1.9,96.9,RIN : 0CP001 : WAN1F20242,,,,,
A,DYN,ZERO, refs,,SCP,1BA_ESPSMP:ABPI5483.POINT,SIMOPT = 0,PSIG,,,U1 ESP SUMP PUMPS DSC PRESS,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20284,,,,,
A,DYN,ZERO, refs,,SCP,1BA_ESPSMP:ABLI5480A.POINT,SIMOPT = 0,PCT,,,U1 ESP SUMP LEVEL A,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20286,,,,,
A,DYN,ZERO, refs,,SCP,1BA_ESPSMP:ABLI5480B.POINT,SIMOPT = 0,PCT,,,U1 ESP SUMP LEVEL B,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20286,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_A:ABLI5800A.POINT,SIMOPT = 0,PCT,,,BA HPR A WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F20101,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_A:ABLI5809A1.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP A  (LEFT/EAST),3,0,0,12.8,-0.256,13.056,RIN : 0CP001 : WAN1F20115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_A:ABLI5809A2.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP A  (CENTER/EAST),3,0,0,15.4,-0.308,15.708,RIN : 0CP001 : WAN1F20115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_A:ABLI5809A3.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP A  (RIGHT/EAST),3,0,0,10.7,-0.214,10.914,RIN : 0CP001 : WAN1F20115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_B:ABLI5800B.POINT,SIMOPT = 0,PCT,,,BA HPR B WATER    LEVEL,3,0,0,100,-2,102,RIN : 0CP001 : WAN1F21101,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_B:ABLI5809B1.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP B  (LEFT/CENTER),3,0,0,12.7,-0.254,12.954,RIN : 0CP001 : WAN1F21115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_B:ABLI5809B2.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP B  (CENT/CENT),3,0,0,14.5,-0.29,14.79,RIN : 0CP001 : WAN1F21115,,,,,
A,DYN,ZERO, refs,,SCP,1BA_HPR_B:ABLI5809B3.POINT,SIMOPT = 0,FT,,,U1 BOT ASH HOP B  (RIGHT/CENTER),3,0,0,10.7,-0.214,10.914,RIN : 0CP001 : WAN1F21115,,,,,
